day	stage	start	end	artist	openEnd
3	LADY BIRD	13:45	14:30	FLOWEROVLOVE	
3	LADY BIRD	15:30	16:30	ROYAL & THE SERPENT	
3	LADY BIRD	17:30	18:30	GIGI PEREZ	
3	LADY BIRD	19:30	20:30	MK.GEE	
3	AMERICAN EXPRESS	13:00	13:45	HEY, NOTHING	
3	AMERICAN EXPRESS	14:30	15:30	HAUTE & FREDDY	
3	AMERICAN EXPRESS	16:30	17:30	WET LEG	
3	AMERICAN EXPRESS	18:30	19:30	T-PAIN	
3	AMERICAN EXPRESS	20:30		THE KILLERS	1
3	BMI	15:15	16:15	CHUWI	
3	AUSTIN KIDDIE LIMITS	13:15	13:45	SCHOOL OF ROCK	
3	AUSTIN KIDDIE LIMITS	15:00	15:30	IMAGINATION MOVERS	
3	AUSTIN KIDDIE LIMITS	17:00	17:30	LUCKY DIAZ AND THE FAMILY JAM BAND	
4	T-MOBILE	12:45	13:30	AIDAN BISSETT	
4	T-MOBILE	14:15	15:00	GOOD NEIGHBOURS	
4	T-MOBILE	16:00	17:00	KING PRINCESS	
4	T-MOBILE	18:00	19:00	ROLE MODEL	
4	T-MOBILE	20:15		HOZIER	1
4	MILLER LITE	13:30	14:15	SPILL TAB	
4	MILLER LITE	15:00	16:00	JENSEN MCRAE	
4	MILLER LITE	17:00	18:00	FINNEAS & ASHE PRESENT THE FAVORS	
4	MILLER LITE	19:00	20:15	EMPIRE OF THE SUN	
4	BMI	13:30	14:15	JUDY BLANK	
4	BMI	15:00	15:45	MAGGIE ANTONE	
4	BMI	17:00	18:00	SKRILLA	
4	BEATBOX	14:00	14:45	CROWE BOYS	
4	BEATBOX	15:30	16:30	PANDA BEAR	
4	BEATBOX	17:30	18:30	MJ LENDERMAN	
4	BEATBOX	19:30	20:30	RILO KILEY	
4	TITO'S HANDMADE VODKA	13:15	14:00	FARMER'S WIFE	
4	TITO'S HANDMADE VODKA	14:45	15:30	AMBLE	
4	TITO'S HANDMADE VODKA	16:30	17:30	VINCENT LIMA	
4	TITO'S HANDMADE VODKA	18:30	19:30	CONFIDENCE MAN	
4	TITO'S HANDMADE VODKA	20:00	22:00	SILENT DISCO	
4	BONUS TRACKS	16:30	17:00	COWBOY CAN CAN	
4	BONUS TRACKS	18:30	19:00	MATTHEW MCCONAUGHEY X BRENÉ BROWN	
4	LADY BIRD	14:00	14:45	GIRL TONES	
4	LADY BIRD	15:30	16:30	BILMURI	
4	LADY BIRD	17:30	18:30	SAM BARBER	
4	LADY BIRD	19:30	20:30	DR. DOG	
4	AMERICAN EXPRESS	13:15	14:00	JOHNNY STIMSON	
4	AMERICAN EXPRESS	14:45	15:30	TANNER USREY	
